Croptype,Province,Quarter,Area,Year,Production,Yield
Palay,Aklan,Quarter 3,9000.0,1988,20804.0,2.3115555555555556
Palay,Antique,Quarter 3,10590.0,1988,27297.0,2.5776203966005666
Palay,Capiz,Quarter 3,21550.0,1988,61204.0,2.840092807424594
Palay,Guimaras,Quarter 3,,1988,,2.757071036382997
Palay,Iloilo,Quarter 3,46280.0,1988,123755.0,2.6740492653414
White Corn,Aklan,Quarter 3,,1988,,1.6870246326707
White Corn,Antique,Quarter 3,390.0,1988,273.0,0.7
White Corn,Capiz,Quarter 3,210.0,1988,101.0,0.48095238095238096
White Corn,Guimaras,Quarter 3,,1988,,0.39405925236544126
White Corn,Iloilo,Quarter 3,3070.0,1988,943.0,0.3071661237785016
Yellow Corn,Aklan,Quarter 3,640.0,1988,294.0,0.459375
Yellow Corn,Antique,Quarter 3,1330.0,1988,598.0,0.4496240601503759
Yellow Corn,Capiz,Quarter 3,4160.0,1988,4035.0,0.9699519230769231
Yellow Corn,Guimaras,Quarter 3,,1988,,0.856424275524089
Yellow Corn,Iloilo,Quarter 3,18090.0,1988,13439.0,0.7428966279712549
Corn,Aklan,Quarter 3,640.0,1988,294.0,0.459375
Corn,Antique,Quarter 3,1720.0,1988,871.0,0.5063953488372093
Corn,Capiz,Quarter 3,4370.0,1988,4136.0,0.9464530892448513
Corn,Guimaras,Quarter 3,,1988,,0.8130658640931251
Corn,Iloilo,Quarter 3,21160.0,1988,14382.0,0.6796786389413989
Irrigated Palay,Aklan,Quarter 4,4440.0,1988,11766.0,2.65
Irrigated Palay,Antique,Quarter 4,4770.0,1988,13356.0,2.8
Irrigated Palay,Capiz,Quarter 4,1940.0,1988,7314.0,3.770103092783505
Irrigated Palay,Guimaras,Quarter 4,,1988,,3.5850515463917523
Irrigated Palay,Iloilo,Quarter 4,19140.0,1988,65076.0,3.4
Rainfed Palay,Aklan,Quarter 4,3910.0,1988,5982.0,1.529923273657289
Rainfed Palay,Antique,Quarter 4,8110.0,1988,12973.0,1.5996300863131936
Rainfed Palay,Capiz,Quarter 4,17820.0,1988,52925.0,2.9699775533108865
Rainfed Palay,Guimaras,Quarter 4,,1988,,2.664990382307338
Rainfed Palay,Iloilo,Quarter 4,62280.0,1988,146981.0,2.3600032113037894
Palay,Aklan,Quarter 4,8350.0,1988,17748.0,2.125508982035928
Palay,Antique,Quarter 4,12880.0,1988,26329.0,2.0441770186335404
Palay,Capiz,Quarter 4,19760.0,1988,60239.0,3.0485323886639675
Palay,Guimaras,Quarter 4,,1988,,2.8265076583457396
Palay,Iloilo,Quarter 4,81420.0,1988,212057.0,2.6044829280275117
White Corn,Aklan,Quarter 4,,1988,,2.284291328911815
White Corn,Antique,Quarter 4,,1988,,1.964099729796119
White Corn,Capiz,Quarter 4,,1988,,1.6439081306804226
White Corn,Guimaras,Quarter 4,,1988,,1.3237165315647261
White Corn,Iloilo,Quarter 4,,1988,,1.0035249324490296
Yellow Corn,Aklan,Quarter 4,60.0,1988,41.0,0.6833333333333333
Yellow Corn,Antique,Quarter 4,,1988,,0.5017241379310344
Yellow Corn,Capiz,Quarter 4,1740.0,1988,557.0,0.3201149425287356
Yellow Corn,Guimaras,Quarter 4,,1988,,0.5726700838769805
Yellow Corn,Iloilo,Quarter 4,1110.0,1988,916.0,0.8252252252252252
Corn,Aklan,Quarter 4,60.0,1988,41.0,0.6833333333333333
Corn,Antique,Quarter 4,,1988,,0.5017241379310344
Corn,Capiz,Quarter 4,1740.0,1988,557.0,0.3201149425287356
Corn,Guimaras,Quarter 4,,1988,,0.5726700838769805
Corn,Iloilo,Quarter 4,1110.0,1988,916.0,0.8252252252252252
Irrigated Palay,Aklan,Quarter 1,11830.0,1989,23987.0,2.0276415891800506
Irrigated Palay,Antique,Quarter 1,9680.0,1989,21120.0,2.1818181818181817
Irrigated Palay,Capiz,Quarter 1,6410.0,1989,17981.0,2.805148205928237
Irrigated Palay,Guimaras,Quarter 1,,1989,,2.846627065262144
Irrigated Palay,Iloilo,Quarter 1,22280.0,1989,64347.0,2.8881059245960503
Rainfed Palay,Aklan,Quarter 1,7920.0,1989,12101.0,1.5279040404040405
Rainfed Palay,Antique,Quarter 1,4140.0,1989,5055.0,1.2210144927536233
Rainfed Palay,Capiz,Quarter 1,36060.0,1989,76600.0,2.124237382140876
Rainfed Palay,Guimaras,Quarter 1,,1989,,2.1071787931616615
Rainfed Palay,Iloilo,Quarter 1,60730.0,1989,126933.0,2.0901202041824467
Palay,Aklan,Quarter 1,19750.0,1989,36088.0,1.827240506329114
Palay,Antique,Quarter 1,13820.0,1989,26175.0,1.8939942112879884
Palay,Capiz,Quarter 1,42470.0,1989,94581.0,2.227007299270073
Palay,Guimaras,Quarter 1,,1989,,2.2656539929671653
Palay,Iloilo,Quarter 1,83010.0,1989,191280.0,2.3043006866642575
White Corn,Aklan,Quarter 1,,1989,,1.3346503433321288
White Corn,Antique,Quarter 1,200.0,1989,73.0,0.365
White Corn,Capiz,Quarter 1,210.0,1989,66.0,0.3142857142857143
White Corn,Guimaras,Quarter 1,,1989,,0.25288753799392094
White Corn,Iloilo,Quarter 1,940.0,1989,180.0,0.19148936170212766
Yellow Corn,Aklan,Quarter 1,,1989,,0.26030164287638025
Yellow Corn,Antique,Quarter 1,2370.0,1989,780.0,0.3291139240506329
Yellow Corn,Capiz,Quarter 1,540.0,1989,495.0,0.9166666666666666
Yellow Corn,Guimaras,Quarter 1,,1989,,0.6084102564102564
Yellow Corn,Iloilo,Quarter 1,6500.0,1989,1951.0,0.30015384615384616
Corn,Aklan,Quarter 1,,1989,,0.3160302304699192
Corn,Antique,Quarter 1,2570.0,1989,853.0,0.3319066147859922
Corn,Capiz,Quarter 1,750.0,1989,561.0,0.748
Corn,Guimaras,Quarter 1,,1989,,0.5172123655913978
Corn,Iloilo,Quarter 1,7440.0,1989,2131.0,0.2864247311827957
Irrigated Palay,Aklan,Quarter 2,30.0,1989,59.0,1.9666666666666666
Irrigated Palay,Antique,Quarter 2,1650.0,1989,3729.0,2.26
Irrigated Palay,Capiz,Quarter 2,510.0,1989,1178.0,2.3098039215686272
Irrigated Palay,Guimaras,Quarter 2,,1989,,2.6049019607843134
Irrigated Palay,Iloilo,Quarter 2,4560.0,1989,13224.0,2.9
Rainfed Palay,Aklan,Quarter 2,,1989,,2.6333333333333333
Rainfed Palay,Antique,Quarter 2,,1989,,2.3666666666666667
Rainfed Palay,Capiz,Quarter 2,1270.0,1989,2667.0,2.1
Rainfed Palay,Guimaras,Quarter 2,,1989,,1.8798611111111112
Rainfed Palay,Iloilo,Quarter 2,720.0,1989,1195.0,1.6597222222222223
Palay,Aklan,Quarter 2,30.0,1989,59.0,1.9666666666666666
Palay,Antique,Quarter 2,1650.0,1989,3729.0,2.26
Palay,Capiz,Quarter 2,1780.0,1989,3845.0,2.1601123595505616
Palay,Guimaras,Quarter 2,,1989,,2.4454917858358867
Palay,Iloilo,Quarter 2,5280.0,1989,14419.0,2.730871212121212
White Corn,Aklan,Quarter 2,,1989,,1.513435606060606
White Corn,Antique,Quarter 2,250.0,1989,74.0,0.296
White Corn,Capiz,Quarter 2,,1989,,0.2977719298245614
White Corn,Guimaras,Quarter 2,,1989,,0.2995438596491228
White Corn,Iloilo,Quarter 2,760.0,1989,229.0,0.3013157894736842
Yellow Corn,Aklan,Quarter 2,630.0,1989,431.0,0.6841269841269841
Yellow Corn,Antique,Quarter 2,400.0,1989,128.0,0.32
Yellow Corn,Capiz,Quarter 2,1810.0,1989,2232.0,1.2331491712707183
Yellow Corn,Guimaras,Quarter 2,,1989,,0.8336755628340562
Yellow Corn,Iloilo,Quarter 2,3070.0,1989,1333.0,0.4342019543973941
Corn,Aklan,Quarter 2,630.0,1989,431.0,0.6841269841269841
Corn,Antique,Quarter 2,650.0,1989,202.0,0.31076923076923074
Corn,Capiz,Quarter 2,1810.0,1989,2232.0,1.2331491712707183
Corn,Guimaras,Quarter 2,,1989,,0.8204910347215211
Corn,Iloilo,Quarter 2,3830.0,1989,1562.0,0.40783289817232377
Irrigated Palay,Aklan,Quarter 3,4110.0,1989,10929.0,2.6591240875912407
Irrigated Palay,Antique,Quarter 3,5170.0,1989,15089.0,2.918568665377176
Irrigated Palay,Capiz,Quarter 3,6690.0,1989,22157.0,3.3119581464872945
Irrigated Palay,Guimaras,Quarter 3,,1989,,3.127103693304438
Irrigated Palay,Iloilo,Quarter 3,19740.0,1989,58080.0,2.9422492401215807
Rainfed Palay,Aklan,Quarter 3,2650.0,1989,3893.0,1.4690566037735848
Rainfed Palay,Antique,Quarter 3,5640.0,1989,10268.0,1.8205673758865248
Rainfed Palay,Capiz,Quarter 3,26290.0,1989,48357.0,1.8393685812095855
Rainfed Palay,Guimaras,Quarter 3,,1989,,1.980482682333684
Rainfed Palay,Iloilo,Quarter 3,34820.0,1989,73874.0,2.121596783457783
Palay,Aklan,Quarter 3,6760.0,1989,14822.0,2.192603550295858
Palay,Antique,Quarter 3,10810.0,1989,25357.0,2.345698427382054
Palay,Capiz,Quarter 3,32980.0,1989,70514.0,2.1380836870830806
Palay,Guimaras,Quarter 3,,1989,,2.2782977086441796
Palay,Iloilo,Quarter 3,54560.0,1989,131954.0,2.4185117302052785
White Corn,Aklan,Quarter 3,,1989,,1.6192558651026392
White Corn,Antique,Quarter 3,200.0,1989,164.0,0.82
White Corn,Capiz,Quarter 3,220.0,1989,60.0,0.2727272727272727
White Corn,Guimaras,Quarter 3,,1989,,0.2812416851441242
White Corn,Iloilo,Quarter 3,2050.0,1989,594.0,0.2897560975609756
Yellow Corn,Aklan,Quarter 3,450.0,1989,202.0,0.4488888888888889
Yellow Corn,Antique,Quarter 3,1200.0,1989,564.0,0.47
Yellow Corn,Capiz,Quarter 3,5050.0,1989,3179.0,0.6295049504950495
Yellow Corn,Guimaras,Quarter 3,,1989,,0.7997686303363778
Yellow Corn,Iloilo,Quarter 3,12380.0,1989,12009.0,0.970032310177706
Corn,Aklan,Quarter 3,450.0,1989,202.0,0.4488888888888889
Corn,Antique,Quarter 3,1400.0,1989,728.0,0.52
Corn,Capiz,Quarter 3,5270.0,1989,3239.0,0.6146110056925996
Corn,Guimaras,Quarter 3,,1989,,0.7439998895406865
Corn,Iloilo,Quarter 3,14430.0,1989,12603.0,0.8733887733887734
Irrigated Palay,Aklan,Quarter 4,10480.0,1989,33771.0,3.2224236641221373
Irrigated Palay,Antique,Quarter 4,7450.0,1989,26671.0,3.58
Irrigated Palay,Capiz,Quarter 4,1330.0,1989,4769.0,3.585714285714286
Irrigated Palay,Guimaras,Quarter 4,,1989,,3.7143250327654
Irrigated Palay,Iloilo,Quarter 4,16350.0,1989,62832.0,3.842935779816514
Rainfed Palay,Aklan,Quarter 4,340.0,1989,415.0,1.2205882352941178
Rainfed Palay,Antique,Quarter 4,5550.0,1989,10268.0,1.85009009009009
Rainfed Palay,Capiz,Quarter 4,5440.0,1989,17543.0,3.224816176470588
Rainfed Palay,Guimaras,Quarter 4,,1989,,2.697971357405379
Rainfed Palay,Iloilo,Quarter 4,31690.0,1989,68803.0,2.1711265383401703
Palay,Aklan,Quarter 4,10820.0,1989,34186.0,3.1595194085027725
Palay,Antique,Quarter 4,13000.0,1989,36939.0,2.8414615384615383
Palay,Capiz,Quarter 4,6770.0,1989,22312.0,3.2957163958641065
Palay,Guimaras,Quarter 4,,1989,,3.017914401096083
Palay,Iloilo,Quarter 4,48040.0,1989,131635.0,2.74011240632806
White Corn,Aklan,Quarter 4,,1989,,2.2520899250624478
White Corn,Antique,Quarter 4,,1989,,1.764067443796836
White Corn,Capiz,Quarter 4,,1989,,1.2760449625312238
White Corn,Guimaras,Quarter 4,,1989,,0.7880224812656118
White Corn,Iloilo,Quarter 4,30.0,1989,9.0,0.3
Yellow Corn,Aklan,Quarter 4,200.0,1989,76.0,0.38
Yellow Corn,Antique,Quarter 4,,1989,,0.3766822429906542
Yellow Corn,Capiz,Quarter 4,2140.0,1989,799.0,0.3733644859813084
Yellow Corn,Guimaras,Quarter 4,,1989,,0.6366822429906542
Yellow Corn,Iloilo,Quarter 4,920.0,1989,828.0,0.9
Corn,Aklan,Quarter 4,200.0,1989,76.0,0.38
Corn,Antique,Quarter 4,,1989,,0.3766822429906542
Corn,Capiz,Quarter 4,2140.0,1989,799.0,0.3733644859813084
Corn,Guimaras,Quarter 4,,1989,,0.6272085587801279
Corn,Iloilo,Quarter 4,950.0,1989,837.0,0.8810526315789474
Irrigated Palay,Aklan,Quarter 1,9130.0,1990,21293.0,2.332201533406353
Irrigated Palay,Antique,Quarter 1,10900.0,1990,20790.0,1.9073394495412843
Irrigated Palay,Capiz,Quarter 1,5380.0,1990,13383.0,2.487546468401487
Irrigated Palay,Guimaras,Quarter 1,,1990,,2.165865016484628
Irrigated Palay,Iloilo,Quarter 1,18740.0,1990,34560.0,1.8441835645677696
Rainfed Palay,Aklan,Quarter 1,7430.0,1990,12283.0,1.6531628532974427
Rainfed Palay,Antique,Quarter 1,980.0,1990,972.0,0.9918367346938776
Rainfed Palay,Capiz,Quarter 1,33490.0,1990,57453.0,1.715527022991938
Rainfed Palay,Guimaras,Quarter 1,,1990,,1.5105899069548148
Rainfed Palay,Iloilo,Quarter 1,42280.0,1990,55203.0,1.3056527909176916
Palay,Aklan,Quarter 1,16560.0,1990,33576.0,2.027536231884058
Palay,Antique,Quarter 1,11880.0,1990,21762.0,1.8318181818181818
Palay,Capiz,Quarter 1,38870.0,1990,70836.0,1.8223822999742731
Palay,Guimaras,Quarter 1,,1990,,1.6467122905967728
