Croptype,Province,Quarter 1 1987,Quarter 2 1987,Quarter 3 1987,Quarter 4 1987,Quarter 1 1988,Quarter 2 1988,Quarter 3 1988,Quarter 4 1988,Quarter 1 1989,Quarter 2 1989,Quarter 3 1989,Quarter 4 1989,Quarter 1 1990,Quarter 2 1990,Quarter 3 1990,Quarter 4 1990,Quarter 1 1991,Quarter 2 1991,Quarter 3 1991,Quarter 4 1991,Quarter 1 1992,Quarter 2 1992,Quarter 3 1992,Quarter 4 1992,Quarter 1 1993,Quarter 2 1993,Quarter 3 1993,Quarter 4 1993,Quarter 1 1994,Quarter 2 1994,Quarter 3 1994,Quarter 4 1994,Quarter 1 1995,Quarter 2 1995,Quarter 3 1995,Quarter 4 1995,Quarter 1 1996,Quarter 2 1996,Quarter 3 1996,Quarter 4 1996,Quarter 1 1997,Quarter 2 1997,Quarter 3 1997,Quarter 4 1997,Quarter 1 1998,Quarter 2 1998,Quarter 3 1998,Quarter 4 1998,Quarter 1 1999,Quarter 2 1999,Quarter 3 1999,Quarter 4 1999,Quarter 1 2000,Quarter 2 2000,Quarter 3 2000,Quarter 4 2000,Quarter 1 2001,Quarter 2 2001,Quarter 3 2001,Quarter 4 2001,Quarter 1 2002,Quarter 2 2002,Quarter 3 2002,Quarter 4 2002,Quarter 1 2003,Quarter 2 2003,Quarter 3 2003,Quarter 4 2003,Quarter 1 2004,Quarter 2 2004,Quarter 3 2004,Quarter 4 2004,Quarter 1 2005,Quarter 2 2005,Quarter 3 2005,Quarter 4 2005,Quarter 1 2006,Quarter 2 2006,Quarter 3 2006,Quarter 4 2006,Quarter 1 2007,Quarter 2 2007,Quarter 3 2007,Quarter 4 2007,Quarter 1 2008,Quarter 2 2008,Quarter 3 2008,Quarter 4 2008,Quarter 1 2009,Quarter 2 2009,Quarter 3 2009,Quarter 4 2009,Quarter 1 2010,Quarter 2 2010,Quarter 3 2010,Quarter 4 2010,Quarter 1 2011,Quarter 2 2011,Quarter 3 2011,Quarter 4 2011,Quarter 1 2012,Quarter 2 2012,Quarter 3 2012,Quarter 4 2012,Quarter 1 2013,Quarter 2 2013,Quarter 3 2013,Quarter 4 2013,Quarter 1 2014,Quarter 2 2014,Quarter 3 2014,Quarter 4 2014,Quarter 1 2015,Quarter 2 2015,Quarter 3 2015,Quarter 4 2015,Quarter 1 2016,Quarter 2 2016,Quarter 3 2016,Quarter 4 2016,Quarter 1 2017,Quarter 2 2017,Quarter 3 2017,Quarter 4 2017,Quarter 1 2018,Quarter 2 2018,Quarter 3 2018,Quarter 4 2018,Quarter 1 2019,Quarter 2 2019,Quarter 3 2019,Quarter 4 2019,Quarter 1 2020,Quarter 2 2020,Quarter 3 2020,Quarter 4 2020,Quarter 1 2021,Quarter 2 2021,Quarter 3 2021,Quarter 4 2021,Quarter 1 2022,Quarter 2 2022,Quarter 3 2022,Quarter 4 2022,Quarter 1 2023,Quarter 2 2023,Quarter 3 2023,Quarter 4 2023,Quarter 1 2024,Quarter 2 2024,Quarter 3,Quarter 4
Palay,Aklan,11020,7290,3080,14040,14360,2750,9000,8350,19750,30,6760,10820,16560,200,14240,2450,18950,80,10620,5780,19000,10,7210,9240,18810,50,4150,14140,18220,490,14340,5400,17270,1650,11470,7500,17580,2090,14980,3980,16482,1272,3922,14008,17828,189,8906,9340,17127,4432,14273,7596,13027,7123,12298,9770,17805,2858,9402,12426,17664,1024,5562,15908,17606,3211,5022,17799,21547,3175,18840,3979,23036,1680,11080,12516,18602,2032,16542,4800,18688,1350,7872,15172,13462,2551,15188,9250,13775,4300,14748,11832,14864,825,1885,15699,15334,4339,13515,6057,14928,3357,6440,14170,14307,4551,7552,14599,12145,3674,4097,14113,12387,2722,1555,15794,13008,2779,5489,11520,15349,3992,8415,11076,15694,3540,9812,7392,14774,2605,2679,13722,14428,3904,9246,10825,10567,4264,7336,12280,13283,4671.93,8845,11606.51,13330,4062,5559,11753,11098,1719,..,..
,Antique,11620,2430,7830,14050,12230,1620,10590,12880,13820,1650,10810,13000,11880,1620,10080,10700,16770,1580,6350,22930,15380,980,5400,25000,13450,1420,5680,24740,14550,3860,14250,17120,12470,4550,11070,20650,16180,8280,15607,24827,14303,8202,23690,16000,13200,7255,21332,18390,15910,11070,23400,15993,16687,10995,23336,20370,17890,9147,23700,20670,18816,7483,22473,22151,13279,2553,27138,24773,17012,5030,26385,20756,14293,5764,25836,27233,18972,5424,25774,24334,18036,5070,22286,27480,20190,6895,24734,24680,18553,7235,31732,23113,11201,2322,18993,29991,21086,5785,31854,25288,16576,5962,32270,26107,17248,5632,32352,28205,17694,4756,28206,30286,17195,5058,28426,31402,16585,3520,27079,29862,17326,4455,28430,30094,18193,5216,29125,30737,19181,4285,25715,34482,8786.94,4255,30623,27428,17150,6687,30755,28016,17502,6299,33192,27432,17621,4581,20830,24233,17840,3561,..,..
,Capiz,37540,2180,2130,39340,39210,440,21550,19760,42470,1780,32980,6770,38870,570,32160,8920,42250,190,8780,31540,40340,390,13310,26330,42750,870,1730,37650,41190,2540,38430,10080,41430,3920,39960,7260,42020,10520,41330,7442,39551,6516,25921,27043,40822,3605,13008,35841,44662,10693,37517,13344,41262,18462,35671,17529,37282,17171,38680,18850,43429,17360,25979,27879,41560,13576,29568,24878,33710,15404,32651,22517,36345,15480,33095,23574,34882,15111,39730,17151,34966,14144,38614,20147,30730,14034,35290,27729,32629,15922,43744,29025,31382,9708,35049,31301,34336,11904,37828,27228,33817,9557,39284,29901,31075,10291,40191,19077,27301,11918,18608,37766,27024,14018,15017,38175,32115,8650,28930,22815,33889,11575,32515,26477,35900,16785,25535,36428,35532,7382,13955,40298,39773,15882,27960,25495,40496,21418,35675,22464,40431,17745,33607,20500,42649,17998,27480,17036,42710,9694,..,..
,Guimaras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5840,920,6830,1480,4510,70,6180,2500,5700,250,9710,2435,6406,585,5465,6195,2200,20,8285,3698,7150,1080,9428,5275,6175,600,6516,6650,5375,550,4110,8040,5066,450,1040,10405,4624,50,6720,5935,4289,35,7966,7060,3585,85,9174,5378,3305,70,8736,6483,3776,60,6927,8922,4185,327,7339,8387,4860,380,7492,8815,4224,290,5550,7724,4196,953,10908,4224,4185,1090,11084,5456,2950,241,7106,7179,5234,341,6554,7577,3224,105,4158,8044,1898,8,7375,6096,4286,330,7568,7680,3476,135,7409,5173,4674,145,1711,10812,5601,301,7724,7784,5483,385,5615,8250,5632,409.82,8483,7003,4331,500,5985,8414,4108,290,..,..
,Iloilo,81400,8520,14040,109910,80440,610,46280,81420,83010,5280,54560,48040,61020,1120,54060,34480,86710,3380,16420,99500,72830,3840,11910,114800,82570,5520,18480,110270,83760,7780,75320,41680,66830,4210,56300,67010,87080,8810,69503,54861,75003,10425,41062,80068,47025,1209,27404,65052,79809,17425,74322,53110,68306,13446,65499,70123,66778,16278,62379,73761,77283,15126,40986,106323,75210,4630,73878,84664,87367,8213,84808,74580,75547,8759,61923,83857,80280,11046,85073,80863,63831,11856,82784,85644,85073,14500,106700,79350,82774,18778,113971,66387,56956,2200,48780,95500,94496,14430,109056,57895,83982,11410,115071,79072,69614,7305,83740,90132,97257,8930,58946,99136,98390,5463,55632,112469,79054,3727,46730,107319,103166,6266,87114,90004,105397,6405,91450,88859,99228,4849,59689,104077,101526,5761,76931,106280,101149,8331,99303,84293,101388,6761,103269,86303,103649,4793,94977,107887,109599,3904,..,..
White Corn,Aklan,0,110,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,40,20,20,30,35,20,10,10,20,8,6,14,15,8,9,11,14,6,6,10,10,7,6,10,10,8,9,13,15,11,8,16,16,9,2,17,21,8,4,12,13,8,6,18,26,24,25,14,14,53,38,7,59,37,37,24,34,22,22,23,17,100,100,90,25,25,30,30,30,49,33,55,47,155,40,132,129,180,43,67,57,87,172,120,80,65,125,80,70,68,102,66,105,52,72,71,123,76,75,73,124,83,80,84,127,171,167,78,114,164,161,60,107,157,145.26,34.8,114,171,86,41,33,..,..
,Antique,10,260,0,0,400,160,390,0,200,250,200,0,190,50,190,0,150,160,350,0,120,120,350,0,100,180,380,0,110,300,100,0,80,70,120,0,130,415,30,0,120,480,25,0,55,25,15,0,30,60,15,0,50,180,15,0,70,200,15,0,95,120,35,0,32,22,25,0,87,245,84,0,74,280,100,0,90,370,60,15,96,288,98,17,114,345,102,12,67,310,286,34,61,14,167,34,35,205,192,17,41,225,185,23,48,141,183,15,55,182,180,18,51,132,186,19,41,108,176,22,54,121,172,17,72,113,184,26,85,112,186,45,144,95,220,30,134,99,200,26.5,109,121,263,28.65,120,138,250,46,148,97,..,..
,Capiz,290,70,500,0,130,150,210,0,210,0,220,0,180,0,160,0,120,410,140,0,140,0,170,0,220,0,290,0,160,110,200,0,150,80,220,0,120,50,230,0,150,50,123,77,175,40,125,10,100,32,100,8,76,50,100,8,40,45,100,5,43,46,80,31,37,64,86,20,50,65,100,20,120,80,120,30,150,75,105,10,200,80,150,0,150,85,100,10,120,100,100,178,95,84,88,116,92,80,60,70,201,50,75,75,120,60,80,60,100,76,565,135,125,86,125,140,136,36,135,85,130,70,150,95,145,71,155,100,158,68,157,105,162,92,170,116,160,98,183,122,155,75,210,132,130,123,248,144,155,66,..,..
,Guimaras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,190,10,30,0,900,20,50,60,759,70,75,10,436,93,130,0,766,150,120,222,484,102,70,140,297,35,80,60,240,70,49,75,130,0,55,0,325,74,50,10,490,20,70,20,456,12,70,23,435,15,68,10,446,50,70,10,410,80,60,13,560,93,32,2,288,89,25,34,402,80,16,25,367,55,6,6,364,15,10,5,370,27,28,3,246,22,12,2,174,30,35,12,270,55,40,17,265,19,27,6,208,65,45,8,273,59,40,18,249,65,40,21.13,205,70,43,33,132,52,50,35,..,..
,Iloilo,1240,500,3020,30,1130,570,3070,0,940,760,2050,30,1100,680,2420,0,650,830,2470,20,680,0,2680,110,690,100,2850,120,1240,1100,2040,110,1900,400,4490,80,2520,1200,2082,225,1810,1228,5200,178,1651,10,3744,200,660,1499,2507,195,5022,2327,4037,300,1920,2673,2564,250,2495,995,4772,157,2623,480,4878,250,1450,1538,5569,260,2840,1577,6000,286,3105,2209,4757,813,1798,1448,5850,700,3000,2990,5500,3440,4244,2000,2500,1017,1560,2570,3925,1020,3092,3910,4403,485,2550,4301,5500,765,2339,3500,6738,1035,2263,2650,5380,880,2400,1756,5257,810,2045,670,3890,605,1266,1330,2830,473,860,903,2748,388,876,646,2595,422,689,726,2815,398,791,767,1338,265,418,643,1157,233,463,725,1255,352,327,291,..,..
Yellow Corn,Aklan,80,470,470,60,70,550,640,60,0,630,450,200,50,610,540,250,30,770,360,390,40,640,420,320,200,590,320,220,0,600,340,320,340,305,330,240,330,530,133,64,288,126,115,58,274,122,90,44,117,60,58,45,111,119,45,26,57,99,50,23,110,152,34,10,73,82,28,8,63,70,26,13,99,102,224,217,4,200,265,142,32,256,280,280,6,175,52,133,49,156,250,280,75,80,157,155,100,150,425,244,90,205,231,220,22,345,300,90,107,200,190,225,170,190,170,252,142,315,225,260,107,337,327,280,124,362,235,301,126,363,244,306,130,369,263,145,117,350,248,135,94.64,341,230,79.72,83.9,345,265,70,94,81,..,..
,Antique,230,1670,1770,0,1800,360,1330,0,2370,400,1200,0,1800,310,1220,0,1900,380,1500,0,1070,290,970,0,700,450,670,0,800,1780,210,0,550,750,570,0,540,1720,120,0,480,1750,125,0,360,120,75,0,100,1500,60,0,120,1500,60,0,170,1500,60,0,180,350,60,0,80,84,60,0,137,1250,105,180,289,1675,240,90,250,1750,115,95,255,1538,340,105,348,1801,321,63,786,1608,333,55,362,64,125,47,178,996,250,26,186,1063,220,31,245,674,218,30,256,904,225,32,233,616,229,31,193,718,211,39,338,742,210,32,415,772,224,45,531,785,238,99,601,860,301,35,538,865,276,31.4,499,897,215,86.89,659,907,194,88,292,887,..,..
,Capiz,3250,240,7490,800,1210,1720,4160,1740,540,1810,5050,2140,2020,1960,4390,2370,470,3590,3380,2930,600,3150,3440,2590,1000,2790,2540,1330,960,2450,3690,440,1870,1420,4230,980,2190,1470,4836,670,1564,3526,7511,210,2834,640,8067,120,1090,1338,3742,162,1108,924,2076,750,750,911,2714,546,815,930,2937,642,2963,1736,3680,500,3158,1020,6300,600,7740,1440,10680,1170,8940,2510,9000,1010,10400,3720,15301,985,11405,3250,6840,2017,8593,5890,5138,1912,4845,2721,5850,2100,3918,3782,4918,1880,5346,3399,4566,2010,5099,3180,5550,1700,4837,3750,5758,1884,4535,3839,5827,2086,5165,665,5865,1892,5180,1175,5550,1215,5235,1896,6060,1230,5250,2345,6080,1200,5400,2175,6030,1170,5000,1915,6200,1262,6090,1699,5229,1885,5980,1933,5655,1250,5670,2515,..,..
,Guimaras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,1070,30,70,0,200,10,20,0,190,10,20,0,60,0,25,0,106,30,22,0,120,50,20,40,215,36,35,20,120,56,20,25,120,0,30,0,150,50,40,15,230,50,60,12,200,40,80,22,188,50,135,62,200,265,145,17,215,150,105,10,264,148,77,3,95,104,57,12,27,25,5,10,23,20,3,3,35,44,43,7,65,25,23,1,5,57,53,1,15,90,75,18,27,32,5,20,300,160,10,4,75,40,20,4,195,45,23,8,190,60,30,11.53,168,78,38,22,109,45,45,35,..,..
,Iloilo,5920,2420,17730,970,7830,2330,18090,1110,6500,3070,12380,920,3520,1120,10860,520,3390,1960,11380,600,6470,980,11510,680,9060,1140,13490,730,6090,2230,12430,580,7340,460,5580,550,7950,3070,9650,705,4270,2319,11453,450,3593,5,9272,750,2237,5396,6600,100,7295,2800,6381,400,3480,2720,7676,975,6942,1500,9871,35,8860,530,8890,500,5140,1985,9041,574,8365,1760,9964,300,8520,4312,18306,480,7342,3500,18672,200,21000,3800,14000,2000,12322,1500,12700,2988,9491,750,8997,9500,15374,1550,11750,3420,13712,1720,12214,3675,12236,1060,14010,4210,11735,1780,9030,5900,11870,1122,9282,4743,6734,392,4200,6694,8030,1920,5439,2520,6330,985,6063,1391,6917,738,4913,2401,6249,1185,5883,1996,8876,2162,10476,1518,10377,1523,8428,1357,10538,1856,8911,1756,9566,825,..,..
Corn,Aklan,80,580,590,60,70,550,640,60,0,630,450,200,50,610,540,250,30,770,360,390,40,640,420,320,200,590,320,250,0,640,360,340,370,340,350,250,340,550,141,70,302,141,123,67,285,136,96,50,127,70,65,51,121,129,53,35,70,114,61,31,126,168,43,12,90,103,36,12,75,83,34,19,117,128,248,242,18,214,318,180,39,315,317,317,30,209,74,155,72,173,350,380,165,105,182,185,130,180,474,277,145,252,386,260,154,474,480,133,174,257,277,397,290,270,235,377,222,385,293,362,173,442,379,352,195,485,311,376,199,487,327,386,214,496,434,312,195,464,412,296,154.64,448,387,224.98,118.7,459,436,156,135,114,..,..
,Antique,240,580,1770,0,2200,520,1720,0,2570,650,1400,0,1990,360,1410,0,2050,540,1850,0,1190,410,1320,0,800,630,1050,0,910,2080,310,0,630,820,690,0,670,2135,150,0,600,2230,150,0,415,145,90,0,130,1560,75,0,170,1680,75,0,240,1700,75,0,275,470,95,0,112,106,85,0,224,1495,189,180,363,1955,340,90,340,2120,175,110,351,1826,438,122,462,2146,423,75,853,1918,619,89,423,78,292,81,213,1201,442,43,227,1288,405,54,293,815,401,45,311,1086,405,50,284,748,415,50,234,826,387,61,392,863,382,49,487,885,408,71,616,897,424,144,745,955,521,65,672,964,476,57.9,608,1018,478,115.54,779,1045,444,134,440,984,..,..
