,Croptype,Province,Quarter,Year,Area,Production
963,Irrigated Palay,Guimaras,1,1995,610.0,1318.0
964,Irrigated Palay,Iloilo,1,1995,34450.0,98516.0
965,Rainfed Palay,Aklan,1,1995,7280.0,16014.0
966,Rainfed Palay,Antique,1,1995,1400.0,1484.0
967,Rainfed Palay,Capiz,1,1995,34610.0,83070.0
968,Rainfed Palay,Guimaras,1,1995,3900.0,5850.0
969,Rainfed Palay,Iloilo,1,1995,32380.0,47275.0
970,Palay,Aklan,1,1995,17270.0,55958.0
971,Palay,Antique,1,1995,12470.0,26392.0
972,Palay,Capiz,1,1995,41430.0,103530.0
973,Palay,Guimaras,1,1995,4510.0,7168.0
974,Palay,Iloilo,1,1995,66830.0,145791.0
975,White Corn,Aklan,1,1995,30.0,18.0
976,White Corn,Antique,1,1995,80.0,26.0
977,White Corn,Capiz,1,1995,150.0,89.0
978,White Corn,Guimaras,1,1995,30.0,27.0
979,White Corn,Iloilo,1,1995,1900.0,1330.0
980,Yellow Corn,Aklan,1,1995,340.0,204.0
981,Yellow Corn,Antique,1,1995,550.0,275.0
982,Yellow Corn,Capiz,1,1995,1870.0,1907.0
983,Yellow Corn,Guimaras,1,1995,70.0,70.0
984,Yellow Corn,Iloilo,1,1995,7340.0,9322.0
985,Corn,Aklan,1,1995,370.0,222.0
986,Corn,Antique,1,1995,630.0,301.0
987,Corn,Capiz,1,1995,2020.0,1996.0
988,Corn,Guimaras,1,1995,100.0,97.0
989,Corn,Iloilo,1,1995,9240.0,10652.0
990,Irrigated Palay,Aklan,2,1995,1100.0,3190.0
991,Irrigated Palay,Antique,2,1995,4550.0,13650.0
992,Irrigated Palay,Capiz,2,1995,2720.0,8160.0
993,Irrigated Palay,Guimaras,2,1995,70.0,83.0
994,Irrigated Palay,Iloilo,2,1995,4210.0,12251.0
995,Rainfed Palay,Aklan,2,1995,550.0,1029.0
996,Rainfed Palay,Antique,2,1995,2581.0,6370.0
997,Rainfed Palay,Capiz,2,1995,1200.0,2600.0
998,Rainfed Palay,Guimaras,2,1995,2581.0,6370.0
999,Rainfed Palay,Iloilo,2,1995,2581.0,6370.0
1000,Palay,Aklan,2,1995,1650.0,4219.0
1001,Palay,Antique,2,1995,4550.0,13650.0
1002,Palay,Capiz,2,1995,3920.0,10760.0
1003,Palay,Guimaras,2,1995,70.0,83.0
1004,Palay,Iloilo,2,1995,4210.0,12251.0
1005,White Corn,Aklan,2,1995,35.0,25.0
1006,White Corn,Antique,2,1995,70.0,27.0
1007,White Corn,Capiz,2,1995,80.0,48.0
1008,White Corn,Guimaras,2,1995,2581.0,6370.0
1009,White Corn,Iloilo,2,1995,400.0,300.0
1010,Yellow Corn,Aklan,2,1995,305.0,212.0
1011,Yellow Corn,Antique,2,1995,750.0,390.0
1012,Yellow Corn,Capiz,2,1995,1420.0,1647.0
1013,Yellow Corn,Guimaras,2,1995,2581.0,6370.0
1014,Yellow Corn,Iloilo,2,1995,460.0,529.0
1015,Corn,Aklan,2,1995,340.0,237.0
1016,Corn,Antique,2,1995,820.0,417.0
1017,Corn,Capiz,2,1995,1500.0,1695.0
1018,Corn,Guimaras,2,1995,2581.0,6370.0
1019,Corn,Iloilo,2,1995,860.0,829.0
1020,Irrigated Palay,Aklan,3,1995,5790.0,19402.0
1021,Irrigated Palay,Antique,3,1995,6500.0,19500.0
1022,Irrigated Palay,Capiz,3,1995,6720.0,23470.0
1023,Irrigated Palay,Guimaras,3,1995,180.0,528.0
1024,Irrigated Palay,Iloilo,3,1995,24080.0,99932.0
1025,Rainfed Palay,Aklan,3,1995,5680.0,10499.0
1026,Rainfed Palay,Antique,3,1995,4570.0,8454.0
1027,Rainfed Palay,Capiz,3,1995,33240.0,84191.0
1028,Rainfed Palay,Guimaras,3,1995,6000.0,12567.0
1029,Rainfed Palay,Iloilo,3,1995,32220.0,85383.0
1030,Palay,Aklan,3,1995,11470.0,29901.0
1031,Palay,Antique,3,1995,11070.0,27954.0
1032,Palay,Capiz,3,1995,39960.0,107661.0
1033,Palay,Guimaras,3,1995,6180.0,13095.0
1034,Palay,Iloilo,3,1995,56300.0,185315.0
1035,White Corn,Aklan,3,1995,20.0,12.0
1036,White Corn,Antique,3,1995,120.0,76.0
1037,White Corn,Capiz,3,1995,220.0,110.0
1038,White Corn,Guimaras,3,1995,900.0,720.0
1039,White Corn,Iloilo,3,1995,4490.0,5029.0
1040,Yellow Corn,Aklan,3,1995,330.0,211.0
1041,Yellow Corn,Antique,3,1995,570.0,382.0
1042,Yellow Corn,Capiz,3,1995,4230.0,5076.0
1043,Yellow Corn,Guimaras,3,1995,200.0,240.0
1044,Yellow Corn,Iloilo,3,1995,5580.0,8091.0
1045,Corn,Aklan,3,1995,350.0,223.0
1046,Corn,Antique,3,1995,690.0,458.0
1047,Corn,Capiz,3,1995,4450.0,5186.0
1048,Corn,Guimaras,3,1995,1100.0,960.0
1049,Corn,Iloilo,3,1995,10070.0,13120.0
1050,Irrigated Palay,Aklan,4,1995,4420.0,15927.0
1051,Irrigated Palay,Antique,4,1995,11090.0,28834.0
1052,Irrigated Palay,Capiz,4,1995,2660.0,7980.0
1053,Irrigated Palay,Guimaras,4,1995,1000.0,2830.0
1054,Irrigated Palay,Iloilo,4,1995,31160.0,124640.0
1055,Rainfed Palay,Aklan,4,1995,3080.0,6173.0
1056,Rainfed Palay,Antique,4,1995,9560.0,15774.0
1057,Rainfed Palay,Capiz,4,1995,4600.0,9890.0
1058,Rainfed Palay,Guimaras,4,1995,1500.0,3600.0
1059,Rainfed Palay,Iloilo,4,1995,35850.0,85491.0
1060,Palay,Aklan,4,1995,7500.0,22100.0
1061,Palay,Antique,4,1995,20650.0,44608.0
1062,Palay,Capiz,4,1995,7260.0,17870.0
1063,Palay,Guimaras,4,1995,2500.0,6430.0
1064,Palay,Iloilo,4,1995,67010.0,210131.0
1065,White Corn,Aklan,4,1995,10.0,6.0
1066,White Corn,Antique,4,1995,2581.0,6370.0
1067,White Corn,Capiz,4,1995,2581.0,6370.0
1068,White Corn,Guimaras,4,1995,20.0,16.0
1069,White Corn,Iloilo,4,1995,80.0,64.0
1070,Yellow Corn,Aklan,4,1995,240.0,169.0
1071,Yellow Corn,Antique,4,1995,2581.0,6370.0
1072,Yellow Corn,Capiz,4,1995,980.0,735.0
1073,Yellow Corn,Guimaras,4,1995,10.0,10.0
1074,Yellow Corn,Iloilo,4,1995,550.0,605.0
1075,Corn,Aklan,4,1995,250.0,175.0
1076,Corn,Antique,4,1995,2581.0,6370.0
1077,Corn,Capiz,4,1995,980.0,735.0
1078,Corn,Guimaras,4,1995,30.0,26.0
1079,Corn,Iloilo,4,1995,630.0,669.0
1080,Irrigated Palay,Aklan,1,1996,9140.0,29869.0
1081,Irrigated Palay,Antique,1,1996,13250.0,47435.0
1082,Irrigated Palay,Capiz,1,1996,6600.0,15510.0
1083,Irrigated Palay,Guimaras,1,1996,700.0,1750.0
1084,Irrigated Palay,Iloilo,1,1996,44980.0,134940.0
1085,Rainfed Palay,Aklan,1,1996,8440.0,17925.0
1086,Rainfed Palay,Antique,1,1996,2930.0,6563.0
1087,Rainfed Palay,Capiz,1,1996,35420.0,66235.0
1088,Rainfed Palay,Guimaras,1,1996,5000.0,10730.0
1089,Rainfed Palay,Iloilo,1,1996,42100.0,96830.0
1090,Palay,Aklan,1,1996,17580.0,47794.0
1091,Palay,Antique,1,1996,16180.0,53998.0
1092,Palay,Capiz,1,1996,42020.0,81745.0
1093,Palay,Guimaras,1,1996,5700.0,12480.0
1094,Palay,Iloilo,1,1996,87080.0,231770.0
1095,White Corn,Aklan,1,1996,10.0,7.0
1096,White Corn,Antique,1,1996,130.0,62.0
1097,White Corn,Capiz,1,1996,120.0,56.0
1098,White Corn,Guimaras,1,1996,50.0,40.0
1099,White Corn,Iloilo,1,1996,2520.0,2293.0
1100,Yellow Corn,Aklan,1,1996,330.0,205.0
1101,Yellow Corn,Antique,1,1996,540.0,356.0
1102,Yellow Corn,Capiz,1,1996,2190.0,1774.0
1103,Yellow Corn,Guimaras,1,1996,20.0,20.0
1104,Yellow Corn,Iloilo,1,1996,7950.0,9063.0
1105,Corn,Aklan,1,1996,340.0,212.0
1106,Corn,Antique,1,1996,670.0,418.0
1107,Corn,Capiz,1,1996,2310.0,1830.0
1108,Corn,Guimaras,1,1996,70.0,60.0
1109,Corn,Iloilo,1,1996,10470.0,11356.0
1110,Irrigated Palay,Aklan,2,1996,1410.0,5471.0
1111,Irrigated Palay,Antique,2,1996,8100.0,27540.0
1112,Irrigated Palay,Capiz,2,1996,4890.0,13252.0
1113,Irrigated Palay,Guimaras,2,1996,150.0,450.0
1114,Irrigated Palay,Iloilo,2,1996,8430.0,27060.0
1115,Rainfed Palay,Aklan,2,1996,680.0,1571.0
1116,Rainfed Palay,Antique,2,1996,180.0,324.0
1117,Rainfed Palay,Capiz,2,1996,5630.0,10190.0
1118,Rainfed Palay,Guimaras,2,1996,100.0,180.0
1119,Rainfed Palay,Iloilo,2,1996,380.0,756.0
1120,Palay,Aklan,2,1996,2090.0,7042.0
1121,Palay,Antique,2,1996,8280.0,27864.0
1122,Palay,Capiz,2,1996,10520.0,23442.0
1123,Palay,Guimaras,2,1996,250.0,630.0
1124,Palay,Iloilo,2,1996,8810.0,27816.0
1125,White Corn,Aklan,2,1996,20.0,18.0
1126,White Corn,Antique,2,1996,415.0,274.0
1127,White Corn,Capiz,2,1996,50.0,23.0
1128,White Corn,Guimaras,2,1996,60.0,53.0
1129,White Corn,Iloilo,2,1996,1200.0,912.0
1130,Yellow Corn,Aklan,2,1996,530.0,439.0
1131,Yellow Corn,Antique,2,1996,1720.0,1410.0
1132,Yellow Corn,Capiz,2,1996,1470.0,1264.0
1133,Yellow Corn,Guimaras,2,1996,2581.0,6370.0
1134,Yellow Corn,Iloilo,2,1996,3070.0,2978.0
1135,Corn,Aklan,2,1996,550.0,457.0
1136,Corn,Antique,2,1996,2135.0,1684.0
1137,Corn,Capiz,2,1996,1520.0,1287.0
1138,Corn,Guimaras,2,1996,60.0,53.0
1139,Corn,Iloilo,2,1996,4270.0,3890.0
1140,Irrigated Palay,Aklan,3,1996,7550.0,26708.0
1141,Irrigated Palay,Antique,3,1996,8448.0,29568.0
1142,Irrigated Palay,Capiz,3,1996,6650.0,23275.0
1143,Irrigated Palay,Guimaras,3,1996,815.0,2395.0
1144,Irrigated Palay,Iloilo,3,1996,35316.0,116543.0
1145,Rainfed Palay,Aklan,3,1996,7430.0,17185.0
1146,Rainfed Palay,Antique,3,1996,7159.0,15750.0
1147,Rainfed Palay,Capiz,3,1996,34680.0,90168.0
1148,Rainfed Palay,Guimaras,3,1996,8895.0,15122.0
1149,Rainfed Palay,Iloilo,3,1996,34187.0,78630.0
1150,Palay,Aklan,3,1996,14980.0,43893.0
1151,Palay,Antique,3,1996,15607.0,45318.0
1152,Palay,Capiz,3,1996,41330.0,113443.0
1153,Palay,Guimaras,3,1996,9710.0,17517.0
1154,Palay,Iloilo,3,1996,69503.0,195173.0
1155,White Corn,Aklan,3,1996,8.0,3.0
1156,White Corn,Antique,3,1996,30.0,18.0
1157,White Corn,Capiz,3,1996,230.0,101.0
1158,White Corn,Guimaras,3,1996,759.0,835.0
1159,White Corn,Iloilo,3,1996,2082.0,2311.0
1160,Yellow Corn,Aklan,3,1996,133.0,83.0
1161,Yellow Corn,Antique,3,1996,120.0,86.0
1162,Yellow Corn,Capiz,3,1996,4836.0,5706.0
1163,Yellow Corn,Guimaras,3,1996,190.0,238.0
1164,Yellow Corn,Iloilo,3,1996,9650.0,13028.0
1165,Corn,Aklan,3,1996,141.0,86.0
1166,Corn,Antique,3,1996,150.0,104.0
1167,Corn,Capiz,3,1996,5066.0,5807.0
1168,Corn,Guimaras,3,1996,949.0,1073.0
1169,Corn,Iloilo,3,1996,11732.0,15339.0
1170,Irrigated Palay,Aklan,4,1996,2800.0,9498.0
1171,Irrigated Palay,Antique,4,1996,13203.0,36674.0
1172,Irrigated Palay,Capiz,4,1996,3220.0,10304.0
1173,Irrigated Palay,Guimaras,4,1996,425.0,1077.0
1174,Irrigated Palay,Iloilo,4,1996,24584.0,86044.0
1175,Rainfed Palay,Aklan,4,1996,1180.0,2426.0
1176,Rainfed Palay,Antique,4,1996,11624.0,18598.0
1177,Rainfed Palay,Capiz,4,1996,4222.0,9922.0
1178,Rainfed Palay,Guimaras,4,1996,2010.0,3912.0
1179,Rainfed Palay,Iloilo,4,1996,30277.0,68123.0
1180,Palay,Aklan,4,1996,3980.0,11924.0
1181,Palay,Antique,4,1996,24827.0,55272.0
1182,Palay,Capiz,4,1996,7442.0,20226.0
1183,Palay,Guimaras,4,1996,2435.0,4989.0
1184,Palay,Iloilo,4,1996,54861.0,154167.0
1185,White Corn,Aklan,4,1996,6.0,2.0
1186,White Corn,Antique,4,1996,2581.0,6370.0
1187,White Corn,Capiz,4,1996,2581.0,6370.0
1188,White Corn,Guimaras,4,1996,70.0,56.0
1189,White Corn,Iloilo,4,1996,225.0,202.0
1190,Yellow Corn,Aklan,4,1996,64.0,42.0
1191,Yellow Corn,Antique,4,1996,2581.0,6370.0
1192,Yellow Corn,Capiz,4,1996,670.0,476.0
1193,Yellow Corn,Guimaras,4,1996,10.0,9.0
1194,Yellow Corn,Iloilo,4,1996,705.0,931.0
1195,Corn,Aklan,4,1996,70.0,44.0
1196,Corn,Antique,4,1996,2581.0,6370.0
1197,Corn,Capiz,4,1996,670.0,476.0
1198,Corn,Guimaras,4,1996,80.0,65.0
1199,Corn,Iloilo,4,1996,930.0,1133.0
1200,Irrigated Palay,Aklan,1,1997,8589.0,33827.0
1201,Irrigated Palay,Antique,1,1997,11950.0,38001.0
1202,Irrigated Palay,Capiz,1,1997,6180.0,17565.0
1203,Irrigated Palay,Guimaras,1,1997,930.0,1814.0
1204,Irrigated Palay,Iloilo,1,1997,36733.0,110199.0
1205,Rainfed Palay,Aklan,1,1997,7893.0,18891.0
1206,Rainfed Palay,Antique,1,1997,2353.0,3318.0
1207,Rainfed Palay,Capiz,1,1997,33371.0,64182.0
1208,Rainfed Palay,Guimaras,1,1997,5476.0,7776.0
1209,Rainfed Palay,Iloilo,1,1997,38270.0,76740.0
1210,Palay,Aklan,1,1997,16482.0,52718.0
1211,Palay,Antique,1,1997,14303.0,41319.0
1212,Palay,Capiz,1,1997,39551.0,81747.0
1213,Palay,Guimaras,1,1997,6406.0,9590.0
1214,Palay,Iloilo,1,1997,75003.0,186939.0
1215,White Corn,Aklan,1,1997,14.0,8.0
1216,White Corn,Antique,1,1997,120.0,60.0
1217,White Corn,Capiz,1,1997,150.0,75.0
1218,White Corn,Guimaras,1,1997,75.0,40.0
1219,White Corn,Iloilo,1,1997,1810.0,1032.0
1220,Yellow Corn,Aklan,1,1997,288.0,191.0
1221,Yellow Corn,Antique,1,1997,480.0,336.0
1222,Yellow Corn,Capiz,1,1997,1564.0,1564.0
1223,Yellow Corn,Guimaras,1,1997,20.0,14.0
1224,Yellow Corn,Iloilo,1,1997,4270.0,6234.0
1225,Corn,Aklan,1,1997,302.0,199.0
1226,Corn,Antique,1,1997,600.0,396.0
1227,Corn,Capiz,1,1997,1714.0,1639.0
1228,Corn,Guimaras,1,1997,95.0,54.0
1229,Corn,Iloilo,1,1997,6080.0,7266.0
1230,Irrigated Palay,Aklan,2,1997,790.0,2524.0
1231,Irrigated Palay,Antique,2,1997,8127.0,27875.0
1232,Irrigated Palay,Capiz,2,1997,2559.0,5681.0
1233,Irrigated Palay,Guimaras,2,1997,485.0,785.0
1234,Irrigated Palay,Iloilo,2,1997,7110.0,17491.0
1235,Rainfed Palay,Aklan,2,1997,482.0,911.0
1236,Rainfed Palay,Antique,2,1997,75.0,154.0
1237,Rainfed Palay,Capiz,2,1997,3957.0,6371.0
1238,Rainfed Palay,Guimaras,2,1997,100.0,117.0
1239,Rainfed Palay,Iloilo,2,1997,3315.0,4641.0
1240,Palay,Aklan,2,1997,1272.0,3435.0
1241,Palay,Antique,2,1997,8202.0,28029.0
1242,Palay,Capiz,2,1997,6516.0,12052.0
1243,Palay,Guimaras,2,1997,585.0,902.0
1244,Palay,Iloilo,2,1997,10425.0,22132.0
1245,White Corn,Aklan,2,1997,15.0,11.0
1246,White Corn,Antique,2,1997,480.0,326.0
1247,White Corn,Capiz,2,1997,50.0,25.0
1248,White Corn,Guimaras,2,1997,10.0,5.0
1249,White Corn,Iloilo,2,1997,1228.0,1032.0
1250,Yellow Corn,Aklan,2,1997,126.0,110.0
1251,Yellow Corn,Antique,2,1997,1750.0,2275.0
1252,Yellow Corn,Capiz,2,1997,3526.0,3561.0
1253,Yellow Corn,Guimaras,2,1997,2581.0,6370.0
1254,Yellow Corn,Iloilo,2,1997,2319.0,2319.0
1255,Corn,Aklan,2,1997,141.0,121.0
1256,Corn,Antique,2,1997,2230.0,2601.0
1257,Corn,Capiz,2,1997,3576.0,3586.0
1258,Corn,Guimaras,2,1997,10.0,5.0
1259,Corn,Iloilo,2,1997,3547.0,3351.0
1260,Irrigated Palay,Aklan,3,1997,2977.0,13163.0
1261,Irrigated Palay,Antique,3,1997,12042.0,42147.0
1262,Irrigated Palay,Capiz,3,1997,5467.0,16863.0
1263,Irrigated Palay,Guimaras,3,1997,795.0,2377.0
1264,Irrigated Palay,Iloilo,3,1997,25812.0,95763.0
1265,Rainfed Palay,Aklan,3,1997,945.0,1831.0
1266,Rainfed Palay,Antique,3,1997,11648.0,24461.0
1267,Rainfed Palay,Capiz,3,1997,20454.0,48299.0
1268,Rainfed Palay,Guimaras,3,1997,4670.0,10290.0
1269,Rainfed Palay,Iloilo,3,1997,15250.0,38430.0
1270,Palay,Aklan,3,1997,3922.0,14994.0
1271,Palay,Antique,3,1997,23690.0,66608.0
1272,Palay,Capiz,3,1997,25921.0,65162.0
1273,Palay,Guimaras,3,1997,5465.0,12667.0
1274,Palay,Iloilo,3,1997,41062.0,134193.0
1275,White Corn,Aklan,3,1997,8.0,4.0
1276,White Corn,Antique,3,1997,25.0,15.0
1277,White Corn,Capiz,3,1997,123.0,69.0
1278,White Corn,Guimaras,3,1997,436.0,254.0
1279,White Corn,Iloilo,3,1997,5200.0,6240.0
1280,Yellow Corn,Aklan,3,1997,115.0,74.0
1281,Yellow Corn,Antique,3,1997,125.0,105.0
1282,Yellow Corn,Capiz,3,1997,7511.0,8562.0
1283,Yellow Corn,Guimaras,3,1997,60.0,82.0
1284,Yellow Corn,Iloilo,3,1997,11453.0,18325.0
1285,Corn,Aklan,3,1997,123.0,78.0
1286,Corn,Antique,3,1997,150.0,120.0
1287,Corn,Capiz,3,1997,7634.0,8631.0
1288,Corn,Guimaras,3,1997,496.0,336.0
1289,Corn,Iloilo,3,1997,16653.0,24565.0
1290,Irrigated Palay,Aklan,4,1997,6665.0,24047.0
1291,Irrigated Palay,Antique,4,1997,8690.0,27808.0
1292,Irrigated Palay,Capiz,4,1997,4635.0,11615.0
1293,Irrigated Palay,Guimaras,4,1997,1320.0,3775.0
1294,Irrigated Palay,Iloilo,4,1997,37000.0,116920.0
1295,Rainfed Palay,Aklan,4,1997,7343.0,16802.0
1296,Rainfed Palay,Antique,4,1997,7310.0,13597.0
1297,Rainfed Palay,Capiz,4,1997,22408.0,42338.0
1298,Rainfed Palay,Guimaras,4,1997,4875.0,8896.0
1299,Rainfed Palay,Iloilo,4,1997,43068.0,90874.0
1300,Palay,Aklan,4,1997,14008.0,40849.0
1301,Palay,Antique,4,1997,16000.0,41405.0
1302,Palay,Capiz,4,1997,27043.0,53953.0
1303,Palay,Guimaras,4,1997,6195.0,12671.0
1304,Palay,Iloilo,4,1997,80068.0,207794.0
1305,White Corn,Aklan,4,1997,9.0,5.0
1306,White Corn,Antique,4,1997,2581.0,6370.0
1307,White Corn,Capiz,4,1997,77.0,35.0
1308,White Corn,Guimaras,4,1997,93.0,93.0
1309,White Corn,Iloilo,4,1997,178.0,160.0
1310,Yellow Corn,Aklan,4,1997,58.0,42.0
1311,Yellow Corn,Antique,4,1997,2581.0,6370.0
1312,Yellow Corn,Capiz,4,1997,210.0,153.0
1313,Yellow Corn,Guimaras,4,1997,2581.0,6370.0
1314,Yellow Corn,Iloilo,4,1997,450.0,585.0
1315,Corn,Aklan,4,1997,67.0,47.0
1316,Corn,Antique,4,1997,2581.0,6370.0
1317,Corn,Capiz,4,1997,287.0,188.0
1318,Corn,Guimaras,4,1997,93.0,93.0
1319,Corn,Iloilo,4,1997,628.0,745.0
1320,Irrigated Palay,Aklan,1,1998,9800.0,36162.0
1321,Irrigated Palay,Antique,1,1998,12650.0,35420.0
1322,Irrigated Palay,Capiz,1,1998,4178.0,10654.0
1323,Irrigated Palay,Guimaras,1,1998,1000.0,1900.0
1324,Irrigated Palay,Iloilo,1,1998,31460.0,71414.0
1325,Rainfed Palay,Aklan,1,1998,8028.0,15433.0
